concept	type	group	description
Model	Model	General	A collection of model elements, which can be entities, attributes or relations.
Module	EntType	DesignEnt	A collection of coherent functions and interfaces.
Order	Attr	IntAttr	An ordinal number of an entity (1st, 2nd, ...).
Output	Attr	StrAttr	Data produced by an entity, e.g. a function or a test.
Prio	Attr	IntAttr	A level of importance of an entity. Short for priority.
Probability	Attr	IntAttr	A likelihood expressed as whole percentages that something (e.g. a risk) occurs.
Product	EntType	ContextEnt	An artifact offered to users or customers, e.g. an app, service or  embedded system.
Profit	Attr	IntAttr	A gain or return of some entity, e.g. in monetary terms.
Prototype	EntType	DesignEnt	A system with limited functionality used to demonstrate a design idea.
Quality	EntType	QualityEnt	An aspect of system quality, distinguishing characteristic or degree of goodness.
Relationship	EntType	DataEnt	A specific way that data types are connected.
Release	EntType	ContextEnt	A specific version of a product offered to end users at a specific time.
Req	EntType	GeneralEnt	Something needed or wanted. An abstract term denoting any type of information relevant to the (specification of) intentions behind system development. Short for requirement.
Resource	EntType	ContextEnt	A capability of, or support for product development, e.g. a development team or some testing equipment.
Risk	EntType	ContextEnt	Something negative that may happen.
Scenario	EntType	ContextEnt	A narrative of foreseeable interactions of user roles (actors) and the system (product, app, or service) under development..
Screen	EntType	DesignEnt	A design of (a part of) a user interface.
Section	EntType	GeneralEnt	A part of a requirements document.
Service	EntType	ContextEnt	System use that provides value to stakeholders. System actions that stakeholders are willing to pay for.
Spec	Attr	StrAttr	A definition of an entity. Short for specification
Stakeholder	EntType	ContextEnt	A role, person or legal entity with a stake in the development or operation of a product.
State	EntType	FunctionalEnt	A mode or condition of something in the domain or in the system. A configuration of data.
Story	EntType	FunctionalEnt	A description of what a user wants in order to achieve a goal. Short for user story.
System	EntType	ContextEnt	A set of software or hardware components interacting with users or systems.
Target	EntType	QualityEnt	A desired quality level or quality goal.
Task	EntType	FunctionalEnt	A piece of work by users, potentially supported by a system. Short for user task
Term	EntType	GeneralEnt	A word or group of words having a particular meaning in a particular domain.
Test	EntType	GeneralEnt	A procedure to check if requirements are met.
Text	Attr	StrAttr	An paragraph or general description.
Title	Attr	StrAttr	A general or descriptive heading. One or more leading # indicate heading level.
UseCase	EntType	FunctionalEnt	A goal-fulfilling interaction between users and a product in a specific usage context.
User	EntType	ContextEnt	A human interacting with a system.
Value	Attr	IntAttr	Some general integer value.
Variant	EntType	VariabilityEnt	An object or system property that can be chosen from a set of options.
VariationPoint	EntType	VariabilityEnt	An opportunity of choice among variants.
Why	Attr	StrAttr	A description of intention or rationale of an entity.
WorkPackage	EntType	GeneralEnt	A coherent collection of (development) activities.
binds	RelType	VariabilityRel	Ties a value to an option. A configuration binds a variation point.
deprecates	RelType	GeneralRel	Makes outdated. An entity deprecates (supersedes) another entity.
excludes	RelType	DependencyRel	Prevents an entity combination. One feature excludes another in a release.
has	RelType	GeneralRel	Expresses containment, substructure, composition or aggregation. An entity contains another entity.
helps	RelType	GoalRel	Positive influence. A goal supports the fulfillment of another goal.
hurts	RelType	GoalRel	Negative influence. A goal hinders another goal.
impacts	RelType	GeneralRel	Some unspecific influence. A new feature impacts an existing component.
implements	RelType	DependencyRel	Realisation of an entity, e.g. a component implements a feature.
inherits	RelType	ClassRel	One entity inherits properties of another entity. A specialization, extension or subtype relation. 
interactsWith	RelType	ContextRel	A communication relation. A user interacts with an interface.
precedes	RelType	DependencyRel	Temporal ordering. A feature precedes (should be implemented before) another feature.
relatesTo	RelType	GeneralRel	Some general, unspecific relation to another entity.
requires	RelType	DependencyRel	A requested combination. One function requires that a another function is also implemented.
verifies	RelType	DependencyRel	Gives evidence of correctness. A test verifies the implementation of a feature.
